Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T
5797.13,80.21
5797.00,79.84
5796.88,79.79
5796.75,79.99
5796.63,80.28
5796.50,80.57
5796.38,80.82
5796.25,81.05
5796.13,81.28
5796.00,81.51
5795.88,81.73
5795.75,81.90
5795.63,81.99
5795.50,82.02
5795.38,82.01
5795.25,81.98
5795.13,81.95
5795.00,81.94
5794.88,81.95
5794.75,82.00
5794.63,82.04
5794.50,82.07
5794.38,82.09
5794.25,82.12
5794.13,82.14
5794.00,82.12
5793.88,82.10
5793.75,82.08
5793.63,82.08
5793.50,82.09
5793.38,82.09
5793.25,82.07
5793.13,82.03
5793.00,81.99
5792.88,81.96
5792.75,81.94
5792.63,81.91
5792.50,81.85
5792.38,81.70
5792.25,81.25
5792.13,80.07
5792.00,77.88
5791.88,74.97
5791.75,72.29
5791.63,70.82
5791.50,70.89
5791.38,72.07
5791.25,73.63
5791.13,75.12
5791.00,76.43
5790.88,77.63
5790.75,78.75
5790.63,79.75
5790.50,80.59
5790.38,81.19
5790.25,81.55
5790.13,81.74
5790.00,81.85
5789.88,81.94
5789.75,81.99
5789.63,82.02
5789.50,82.03
5789.38,82.04
5789.25,82.03
5789.13,82.01
5789.00,81.99
5788.88,81.98
5788.75,81.96
5788.63,81.94
5788.50,81.92
5788.38,81.91
5788.25,81.89
5788.13,81.83
5788.00,81.60
5787.88,81.04
5787.75,80.06
5787.63,78.89
5787.50,77.95
5787.38,77.58
5787.25,77.80
5787.13,78.35
5787.00,78.97
5786.88,79.53
5786.75,80.03
5786.63,80.50
5786.50,80.93
5786.38,81.30
5786.25,81.57
5786.13,81.73
5786.00,81.82
5785.88,81.89
5785.75,81.94
5785.63,81.96
5785.50,81.97
5785.38,81.99
5785.25,82.04
5785.13,82.10
5785.00,82.11
5784.88,82.09
5784.75,82.03
5784.63,81.99
5784.50,81.98
5784.38,82.00
5784.25,82.02
5784.13,82.03
5784.00,82.03
5783.88,82.04
5783.75,82.05
5783.63,82.05
5783.50,82.06
5783.38,82.09
5783.25,82.13
5783.13,82.14
5783.00,82.10
5782.88,82.06
5782.75,82.02
5782.63,82.00
5782.50,81.98
5782.38,81.95
5782.25,81.91
5782.13,81.85
5782.00,81.79
5781.88,81.77
5781.75,81.74
5781.63,81.64
5781.50,81.33
5781.38,80.45
5781.25,78.45
5781.13,75.04
5781.00,70.74
5780.88,66.92
5780.75,64.92
5780.63,65.12
5780.50,66.87
5780.38,69.14
5780.25,71.34
5780.13,73.34
5780.00,75.20
5779.88,76.94
5779.75,78.49
5779.63,79.74
5779.50,80.65
5779.38,81.24
5779.25,81.62
5779.13,81.86
5779.00,81.97
5778.88,81.98
5778.75,81.93
5778.63,81.90
5778.50,81.90
5778.38,81.93
5778.25,81.97
5778.13,82.01
5778.00,82.04
5777.88,82.03
5777.75,81.98
5777.63,81.94
5777.50,81.91
5777.38,81.86
5777.25,81.69
5777.13,81.18
5777.00,80.08
5776.88,78.39
5776.75,76.53
5776.63,75.15
5776.50,74.70
5776.38,75.13
5776.25,76.04
5776.13,77.04
5776.00,77.94
5775.88,78.74
5775.75,79.47
5775.63,80.18
5775.50,80.81
5775.38,81.33
5775.25,81.68
5775.13,81.87
5775.00,81.93
5774.88,81.93
5774.75,81.90
5774.63,81.87
5774.50,81.86
5774.38,81.87
5774.25,81.89
5774.13,81.92
5774.00,81.95
5773.88,81.98
5773.75,82.01
5773.63,82.02
5773.50,82.02
5773.38,82.03
5773.25,82.05
5773.13,82.07
5773.00,82.06
5772.88,82.04
5772.75,82.01
5772.63,81.99
5772.50,81.98
5772.38,81.97
5772.25,81.97
5772.13,81.97
5772.00,81.96
5771.88,81.94
5771.75,81.93
5771.63,81.95
5771.50,81.97
5771.38,82.00
5771.25,82.03
5771.13,82.04
5771.00,82.04
5770.88,82.01
5770.75,81.97
5770.63,81.93
5770.50,81.90
5770.38,81.89
5770.25,81.87
5770.13,81.81
5770.00,81.70
5769.88,81.57
5769.75,81.44
5769.63,81.31
5769.50,81.12
5769.38,80.68
5769.25,79.58
5769.13,77.19
5769.00,73.07
5768.88,67.67
5768.75,62.49
5768.63,59.26
5768.50,58.80
5768.38,60.58
5768.25,63.44
5768.13,66.44
5768.00,69.23
5767.88,71.80
5767.75,74.19
5767.63,76.36
5767.50,78.18
5767.38,79.54
5767.25,80.42
5767.13,80.95
5767.00,81.30
5766.88,81.53
5766.75,81.66
5766.63,81.74
5766.50,81.79
5766.38,81.83
5766.25,81.86
5766.13,81.87
5766.00,81.87
5765.88,81.85
5765.75,81.82
5765.63,81.80
5765.50,81.80
5765.38,81.78
5765.25,81.69
5765.13,81.43
5765.00,80.74
5764.88,79.27
5764.75,76.95
5764.63,74.29
5764.50,72.22
5764.38,71.40
5764.25,71.86
5764.13,73.08
5764.00,74.49
5763.88,75.82
5763.75,77.01
5763.63,78.12
5763.50,79.15
5763.38,80.08
5763.25,80.82
5763.13,81.32
5763.00,81.62
5762.88,81.78
5762.75,81.85
5762.63,81.86
5762.50,81.85
5762.38,81.82
5762.25,81.81
5762.13,81.81
5762.00,81.83
5761.88,81.87
5761.75,81.89
5761.63,81.88
5761.50,81.88
5761.38,81.90
5761.25,81.95
5761.13,81.99
5761.00,82.00
5760.88,81.99
5760.75,81.97
5760.63,81.97
5760.50,81.99
5760.38,82.02
5760.25,82.03
5760.13,82.02
5760.00,82.00
5759.88,81.98
5759.75,81.97
5759.63,81.95
5759.50,81.94
5759.38,81.95
5759.25,81.97
5759.13,81.99
5759.00,82.01
5758.88,82.01
5758.75,82.01
5758.63,81.98
5758.50,81.95
5758.38,81.91
5758.25,81.88
5758.13,81.87
5758.00,81.89
5757.88,81.92
5757.75,81.95
5757.63,81.97
5757.50,81.94
5757.38,81.88
5757.25,81.82
5757.13,81.77
5757.00,81.75
5756.88,81.71
5756.75,81.63
5756.63,81.49
5756.50,81.35
5756.38,81.25
5756.25,81.14
5756.13,80.91
5756.00,80.41
5755.88,79.32
5755.75,77.01
5755.63,72.86
5755.50,66.94
5755.38,60.48
5755.25,55.42
5755.13,53.24
5755.00,54.05
5754.88,56.84
5754.75,60.39
5754.63,63.95
5754.50,67.28
5754.38,70.39
5754.25,73.26
5754.13,75.77
5754.00,77.77
5753.88,79.19
5753.75,80.11
5753.63,80.68
5753.50,81.05
5753.38,81.27
5753.25,81.38
5753.13,81.45
5753.00,81.49
5752.88,81.52
5752.75,81.54
5752.63,81.58
5752.50,81.61
5752.38,81.64
5752.25,81.64
5752.13,81.64
5752.00,81.61
5751.88,81.52
5751.75,81.25
5751.63,80.55
5751.50,79.00
5751.38,76.36
5751.25,73.05
5751.13,70.07
5751.00,68.43
5750.88,68.45
5750.75,69.68
5750.63,71.43
5750.50,73.20
5750.38,74.83
5750.25,76.34
5750.13,77.73
5750.00,78.96
5749.88,79.97
5749.75,80.69
5749.63,81.13
5749.50,81.36
5749.38,81.50
5749.25,81.60
5749.13,81.70
5749.00,81.78
5748.88,81.84
5748.75,81.86
5748.63,81.87
5748.50,81.89
5748.38,81.91
5748.25,81.93
5748.13,81.93
5748.00,81.93
5747.88,81.92
5747.75,81.90
5747.63,81.89
5747.50,81.90
5747.38,81.93
5747.25,81.96
5747.13,81.97
5747.00,81.96
5746.88,81.94
5746.75,81.92
5746.63,81.90
5746.50,81.90
5746.38,81.91
5746.25,81.92
5746.13,81.95
5746.00,81.97
5745.88,81.98
5745.75,81.95
5745.63,81.92
5745.50,81.89
5745.38,81.87
5745.25,81.88
5745.13,81.90
5745.00,81.93
5744.88,81.96
5744.75,81.95
5744.63,81.93
5744.50,81.91
5744.38,81.90
5744.25,81.88
5744.13,81.84
5744.00,81.79
5743.88,81.75
5743.75,81.72
5743.63,81.72
5743.50,81.76
5743.38,81.79
5743.25,81.82
5743.13,81.86
5743.00,81.91
5742.88,81.94
5742.75,81.89
5742.63,81.81
5742.50,81.72
5742.38,81.64
5742.25,81.55
5742.13,81.46
5742.00,81.33
5741.88,81.17
5741.75,80.97
5741.63,80.74
5741.50,80.47
5741.38,80.04
5741.25,79.19
5741.13,77.44
5741.00,74.08
5740.88,68.69
