Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T,
5771,82.04,
5770.88,82.01,
5770.75,81.97,
5770.63,81.93,
5770.5,81.9,
5770.38,81.89,
5770.25,81.87,
5770.13,81.81,
5770,81.7,
5769.88,81.57,
5769.75,81.44,
5769.63,81.31,
5769.5,81.12,
5769.38,80.68,
5769.25,79.58,
5769.13,77.19,
5769,73.07,
5768.88,67.67,
5768.75,62.49,
5768.63,59.26,
5768.5,58.8,
5768.38,60.58,
5768.25,63.44,
5768.13,66.44,
5768,69.23,
5767.88,71.8,
5767.75,74.19,
5767.63,76.36,
5767.5,78.18,
5767.38,79.54,
5767.25,80.42,
5767.13,80.95,
5767,81.3,
5766.88,81.53,
5766.75,81.66,
5766.63,81.74,
5766.5,81.79,
5766.38,81.83,
5766.25,81.86,
5766.13,81.87,
5766,81.87,
5765.88,81.85,
5765.75,81.82,
5765.63,81.8,
5765.5,81.8,
5765.38,81.78,
5765.25,81.69,
5765.13,81.43,
5765,80.74,
5764.88,79.27,
5764.75,76.95,
5764.63,74.29,
5764.5,72.22,
5764.38,71.4,
5764.25,71.86,
5764.13,73.08,
5764,74.49,
5763.88,75.82,
5763.75,77.01,
5763.63,78.12,
5763.5,79.15,
5763.38,80.08,
5763.25,80.82,
5763.13,81.32,
5763,81.62,
5762.88,81.78,
5762.75,81.85,
5762.63,81.86,
5762.5,81.85,
5762.38,81.82,
5762.25,81.81,
5762.13,81.81,
5762,81.83,
5761.88,81.87,
5761.75,81.89,
5761.63,81.88,
5761.5,81.88,
5761.38,81.9,
5761.25,81.95,
5761.13,81.99,
5761,82,
5760.88,81.99,
5760.75,81.97,
5760.63,81.97,
5760.5,81.99,
5760.38,82.02,
5760.25,82.03,
5760.13,82.02,
5760,82,
5759.88,81.98,
5759.75,81.97,
5759.63,81.95,
5759.5,81.94,
5759.38,81.95,
5759.25,81.97,
5759.13,81.99,
5759,82.01,
5758.88,82.01,
5758.75,82.01,
5758.63,81.98,
5758.5,81.95,
5758.38,81.91,
5758.25,81.88,
5758.13,81.87,
5758,81.89,
5757.88,81.92,
5757.75,81.95,
5757.63,81.97,
5757.5,81.94,
5757.38,81.88,
5757.25,81.82,
5757.13,81.77,
5757,81.75,
5756.88,81.71,
5756.75,81.63,
5756.63,81.49,
5756.5,81.35,
5756.38,81.25,
5756.25,81.14,
5756.13,80.91,
5756,80.41,
5755.88,79.32,
5755.75,77.01,
5755.63,72.86,
5755.5,66.94,
5755.38,60.48,
5755.25,55.42,
5755.13,53.24,
5755,54.05,
5754.88,56.84,
5754.75,60.39,
5754.63,63.95,
5754.5,67.28,
5754.38,70.39,
5754.25,73.26,
5754.13,75.77,
5754,77.77,
5753.88,79.19,
5753.75,80.11,
5753.63,80.68,
5753.5,81.05,
5753.38,81.27,
5753.25,81.38,
5753.13,81.45,
5753,81.49,
5752.88,81.52,
5752.75,81.54,
5752.63,81.58,
5752.5,81.61,
5752.38,81.64,
5752.25,81.64,
5752.13,81.64,
5752,81.61,
5751.88,81.52,
5751.75,81.25,
5751.63,80.55,
5751.5,79,
5751.38,76.36,
5751.25,73.05,
5751.13,70.07,
5751,68.43,
5750.88,68.45,
5750.75,69.68,
5750.63,71.43,
5750.5,73.2,
5750.38,74.83,
5750.25,76.34,
5750.13,77.73,
5750,78.96,
5749.88,79.97,
5749.75,80.69,
5749.63,81.13,
5749.5,81.36,
5749.38,81.5,
5749.25,81.6,
5749.13,81.7,
5749,81.78,
5748.88,81.84,
5748.75,81.86,
5748.63,81.87,
5748.5,81.89,
5748.38,81.91,
5748.25,81.93,
5748.13,81.93,
5748,81.93,
5747.88,81.92,
5747.75,81.9,
5747.63,81.89,
5747.5,81.9,
5747.38,81.93,
5747.25,81.96,
5747.13,81.97,
5747,81.96,
5746.88,81.94,
5746.75,81.92,
5746.63,81.9,
5746.5,81.9,
5746.38,81.91,
5746.25,81.92,
5746.13,81.95,
5746,81.97,
5745.88,81.98,
5745.75,81.95,
5745.63,81.92,
5745.5,81.89,
5745.38,81.87,
5745.25,81.88,
5745.13,81.9,
5745,81.93,
5744.88,81.96,
5744.75,81.95,
5744.63,81.93,
5744.5,81.91,
5744.38,81.9,
5744.25,81.88,
5744.13,81.84,
5744,81.79,
5743.88,81.75,
5743.75,81.72,
5743.63,81.72,
5743.5,81.76,
5743.38,81.79,
5743.25,81.82,
5743.13,81.86,
5743,81.91,
5742.88,81.94,
5742.75,81.89,
5742.63,81.81,
5742.5,81.72,
5742.38,81.64,
5742.25,81.55,
5742.13,81.46,
5742,81.33,
5741.88,81.17,
5741.75,80.97,
5741.63,80.74,
5741.5,80.47,
5741.38,80.04,
5741.25,79.19,
5741.13,77.44,
5741,74.08,
5740.88,68.69,
5740.75,61.81,
5740.63,55.14,
5740.5,50.67,
5740.38,49.49,
5740.25,51.22,
5740.13,54.65,
5740,58.62,
5739.88,62.53,
5739.75,66.22,
5739.63,69.64,
5739.5,72.75,
5739.38,75.4,
5739.25,77.46,
5739.13,78.9,
5739,79.84,
5738.88,80.45,
5738.75,80.84,
5738.63,81.06,
5738.5,81.18,
5738.38,81.25,
5738.25,81.31,
5738.13,81.36,
5738,81.44,
5737.88,81.5,
5737.75,81.53,
5737.63,81.51,
5737.5,81.49,
5737.38,81.45,
5737.25,81.33,
5737.13,81.08,
5737,80.52,
5736.88,79.28,
5736.75,76.93,
5736.63,73.5,
5736.5,69.83,
5736.38,67.12,
5736.25,66.18,
5736.13,66.94,
5736,68.7,
5735.88,70.72,
5735.75,72.64,
5735.63,74.41,
5735.5,76.07,
5735.38,77.61,
5735.25,78.96,
5735.13,80.01,
5735,80.73,
5734.88,81.18,
5734.75,81.43,
5734.63,81.57,
5734.5,81.62,
5734.38,81.63,
5734.25,81.62,
5734.13,81.63,
5734,81.66,
5733.88,81.7,
5733.75,81.74,
5733.63,81.77,
5733.5,81.81,
5733.38,81.85,
5733.25,81.89,
5733.13,81.91,
5733,81.9,
5732.88,81.88,
5732.75,81.84,
5732.63,81.79,
5732.5,81.75,
5732.38,81.72,
5732.25,81.68,
5732.13,81.63,
5732,81.57,
5731.88,81.53,
5731.75,81.5,
5731.63,81.49,
5731.5,81.48,
5731.38,81.46,
5731.25,81.45,
5731.13,81.44,
5731,81.43,
5730.88,81.42,
5730.75,81.4,
5730.63,81.38,
5730.5,81.36,
5730.38,81.35,
5730.25,81.33,
5730.13,81.32,
5730,81.32,
5729.88,81.34,
5729.75,81.38,
5729.63,81.41,
5729.5,81.42,
5729.38,81.43,
5729.25,81.46,
5729.13,81.51,
5729,81.56,
5728.88,81.59,
5728.75,81.6,
5728.63,81.6,
5728.5,81.6,
5728.38,81.62,
5728.25,81.63,
5728.13,81.62,
5728,81.61,
5727.88,81.58,
5727.75,81.53,
5727.63,81.47,
5727.5,81.4,
5727.38,81.35,
5727.25,81.33,
5727.13,81.33,
5727,81.31,
5726.88,81.26,
5726.75,81.18,
5726.63,81.1,
